,Words,Frequency
0,f52community,8
1,f52grams,3
2,valley,3
3,trending,1
4,travel,1
5,home,1
6,sardar,4
7,brotherhood,1
8,kashmir,3
9,sikh,3
10,turban,5
11,wanderlust,6
12,tourism,1
13,love,10
14,jk,1
15,adventure,1
16,valleyofflowers,1
17,amazing,1
18,mountains,4
19,photography,3
20,photos,1
21,nature,4
22,naturephotography,4
23,hometown,1
24,scenic,1
25,waterfall,1
26,shotoniphone,2
27,sardari,2
28,wanderer,3
29,waters,1
30,fun,6
31,mountain,1
32,vincetchase,1
33,kashmirtourism,1
34,reflections,1
35,artistsoninstagram,1
36,sketch,1
37,handmade,1
38,scribble,1
39,kashmiri,2
40,singh,1
41,stayhome,2
42,stayhomestaysafe,1
43,art,1
44,bossbaby,1
45,photooftheday,1
46,sundayfunday,1
47,morning,1
48,sunlight,1
49,sunlightphotography,1
50,lawn,1
51,baby,1
52,cutebabies,1
53,selfie,1
54,turbanator,1
55,beard,1
56,india,1
57,jammu,1
58,quarantineandchill,1
59,shotonsony,1
60,life,1
61,mountainlife,2
62,oldmemories,2
63,placestovisit,1
64,travelphotography,1
65,sonyalpha,1
66,shots,1
67,silence,1
68,warmth,1
69,paradise,1
70,hangout,1
71,throwback,1
72,throwbackthursday,1
73,instagood,6
74,instagram,6
75,dilsefoodie,11
76,dilsecouple,9
77,diwalidecorations,1
78,diwalicelebration,1
79,aarti,1
80,diwali2021,5
81,Ad,1
82,kwalitywalls,1
83,tareekanaya,1
84,diwali,7
85,diwaligifts,5
86,diwalisweets,6
87,giftingidea,1
88,Diwalicelebration,1
89,tareekanayawithkwalitywalls,1
90,Desikulfi,1
91,kulfi,1
92,khushiyonkaflavour,1
93,HotFind,3
94,ChickenWings,1
95,foodtalkindia,4
96,foodtalk,4
97,food,3
98,chickenwings,1
99,hotwings,1
100,foodie,1
101,foodporn,3
102,foodiesofdelhi,1
103,foodgasm,1
104,chicken,1
105,wings,1
106,delicious,2
107,LetsTalk,2
108,SouthIndianCuisine,1
109,southindianfood,1
110,foodies,1
111,delhifoodie,1
112,idli,1
113,dosa,1
114,indianfood,1
115,indiancuisine,1
116,foodlover,1
117,foodgram,2
118,HangoverCures,1
119,fti,2
120,party,2
121,festivevibes,1
122,drinks,1
123,hangover,1
124,cure,1
125,letstalk,1
126,PartySnacks,1
127,hamper,1
128,diwaliparty,1
129,snacks,1
130,readytocook,1
131,festive,6
132,partyideas,1
133,hosting,1
134,goodfood,1
135,pinksaree,2
136,saree,1
137,sareelove,1
138,sareelovers,1
139,sareefashion,1
140,sareeindia,1
141,sareecollection,1
142,sareeaddict,1
143,sareeblogger,2
144,birminghamblogger,6
145,birminghamuk,5
146,birminghambloggers,2
147,birminghamlife,2
148,birminghamfashion,1
149,birminghamfashionblogger,4
150,birminghamfashionphotographer,3
151,birminghamfashionbloggers,3
152,birminghamfashionstylist,2
153,fashion,2
154,fashionstyle,2
155,fashionblogger,2
156,fashionista,2
157,fashionnova,2
158,londonfashion,1
159,londonfashionblogger,2
160,indiansinlondon,6
161,indiansinbirmingham,6
162,ukindians,7
163,ukindian,1
164,indiansinmanchester,6
165,diwalirangoli,4
166,diwalidecor,4
167,diwalihampers,4
168,festivities,5
169,festiveseason,5
170,festivalfashion,5
171,festivités,5
172,festivaloflights,5
173,diyas,5
174,diyart,5
175,londonblogger,4
176,bloggerstyle,5
177,bloggerlifestyle,5
178,londonfoodieblogger,5
179,indianinuk,5
180,instareels,5
181,londonindians,1
182,londonindianfashion,1
183,indianfashion,1
184,birmingham,3
185,birminghamfood,4
186,birminghamchristmasmarket,1
187,birminghamthanksgiving,1
188,birminghamthanksgivingdinner,1
189,birminghamphotographer,2
190,birminghamfoodie,3
191,birminghamfoodblogger,2
192,birminghamfoodscene,2
193,londonfoodie,1
194,londonfoodguide,1
195,londonfoodblogger,1
196,lovefood,1
197,lovefoodlovelife,1
198,lovefoodie,1
199,thanksgiving,1
200,thegrandhotel,1
201,resturants,1
202,resturant,1
203,foodbloggersofinstagram,1
204,birminghamfoodfanatics,2
205,birminghamartist,1
206,birminghaminfluencer,1
207,birminghaminfluencers,1
208,resturantsinlondon,1
209,resturantsinbirmingham,1
210,influencer,1
211,bloggerfashion,1
212,chai,1
213,chaiwala,1
214,chailover,1
215,chailovers,1
216,birminghamfoodbloggers,2
217,birminghamcity,2
218,tea,1
219,tealovers,1
220,tealovers❤️,1
221,tealoversofinstagram,1
222,teatime,1
223,tealover☕,1
224,tandoorichai☕️,1
225,tandoorichaivideo,1
226,tandoorichai☕♥️,1
227,karakchai☕️,1
228,karakchai,1
229,tealoversinbirmingham,1
230,birminghamtea,1
231,ladypoolroad,1
